Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
150775,0.06,1.01,0.06,-2.99,-0.25,-0.9,-0.05,0.99,0.2,0.02,-2.4,-0.7,0.97,-0.02,-0.23,6.35,3.36,-1.71,-267.773163,1294.707,326.1492,-267.351776,1242.89612,329.486572,-264.9469,1346.81641,318.764282,-263.202881,1045.20557,320.8095,-263.814117,1396.98633,310.381348,-262.765381,1446.16443,288.096466,-266.738556,1190.43579,326.1572,-267.6229,1138.16785,322.380035,-266.371246,1094.53552,307.439026,-258.827118,1000.77209,330.592
150785,0.07,1.01,0.07,-3.37,0.08,-0.39,-0.05,0.99,0.19,-0.04,-2.19,-0.65,0.97,-0.02,-0.24,5.68,3.54,-1.71,-267.868164,1294.75488,326.0089,-267.416321,1242.95825,329.33316,-265.018677,1346.84839,318.645447,-263.230835,1045.2113,320.585419,-262.8066,1446.22168,287.9942,-263.8811,1397.05151,310.273224,-266.814819,1190.49939,326.0088,-267.653,1138.2373,322.2705,-266.373322,1094.594,307.1578,-258.675385,1000.34973,330.253235
150794,0.07,1.01,0.06,-3.74,0.16,-0.46,-0.05,0.99,0.19,-0.01,-2.24,-0.51,0.97,-0.02,-0.24,5.31,3.54,-1.71,-267.923035,1294.75159,325.901154,-267.487579,1242.95972,329.1412,-263.260254,1045.2561,320.4428,-265.0796,1346.85974,318.548523,-264.002563,1397.01819,310.150146,-262.863525,1446.20264,287.918823,-266.848175,1190.45618,325.8587,-267.725372,1138.15356,322.096252,-266.428,1094.60071,307.00946,-258.758026,1000.32751,330.094666
150806,0.07,1.01,0.07,-3.56,-0.3,0.06,-0.05,0.99,0.2,0.24,-2.46,-0.36,0.97,-0.02,-0.24,5.13,3.48,-1.65,-268.0016,1294.72766,325.803375,-267.529053,1242.92236,329.017273,-263.3524,1045.19653,320.24173,-265.169678,1346.81,318.437073,-264.06,1396.98792,310.049469,-262.862885,1446.1593,287.885773,-266.873047,1190.40637,325.754,-267.831421,1138.09253,321.923828,-266.437775,1094.60535,306.8595,-258.7178,1000.288,329.9435
150814,0.07,1,0.08,-3.82,-0.72,0,-0.05,0.99,0.19,0.06,-2.46,-0.37,0.97,-0.02,-0.23,5.13,3.66,-1.59,-268.079926,1294.60974,325.6761,-267.6756,1242.80029,328.878632,-265.285278,1346.71118,318.285645,-263.405273,1045.13916,319.9875,-262.970184,1446.1283,287.748474,-264.2335,1396.90588,309.888031,-266.973969,1190.34839,325.6387,-268.1773,1138.33008,321.621582,-258.884552,1000.57367,330.0107,-266.5998,1094.51013,306.638641
150825,0.07,1,0.08,-3.64,-0.46,0.29,-0.05,0.99,0.19,0.3,-2.35,-0.15,0.97,-0.02,-0.23,5.37,3.66,-1.4,-268.24115,1294.51917,325.556549,-267.816132,1242.72974,328.72113,-265.486481,1346.65186,318.099335,-263.47876,1045.07971,319.814178,-263.1092,1446.06238,287.647156,-264.357422,1396.84082,309.811768,-267.052856,1190.26636,325.464081,-268.2688,1138.2323,321.384033,-266.658325,1094.3761,306.40448,-258.864258,1000.24634,329.498352
150834,0.07,1,0.08,-3.76,0,0.21,-0.05,0.99,0.19,0.49,-2.22,-0.03,0.97,-0.02,-0.24,5.55,3.54,-1.22,-268.378448,1294.44678,325.423553,-267.945068,1242.68323,328.5847,-263.561859,1045.03052,319.6211,-265.6322,1346.587,317.973419,-263.175629,1445.98071,287.5477,-264.5167,1396.7937,309.657074,-267.1061,1190.22888,325.384,-268.403076,1138.17468,321.280945,-259.092346,1000.45612,329.617981,-266.775635,1094.34143,306.203156
150845,0.07,1.01,0.07,-4.2,0.35,0.43,-0.05,0.99,0.19,0.08,-1.46,0.1,0.97,-0.02,-0.24,5.31,3.42,-1.16,-268.483917,1294.42749,325.309479,-268.031,1242.64282,328.464264,-263.629364,1045.03015,319.3884,-265.751617,1346.56934,317.833649,-263.394958,1446.00525,287.378845,-264.61972,1396.78418,309.577576,-267.2188,1190.26208,325.190338,-259.1072,1000.47626,329.411346,-268.433533,1138.12512,321.0386,-266.86,1094.26221,305.977356
150855,0.07,1.01,0.08,-4.37,0.83,0.42,-0.04,0.99,0.2,0.24,-1.9,0.02,0.97,-0.02,-0.24,5.13,3.11,-1.22,-268.544952,1294.46021,325.2029,-268.1159,1242.66357,328.315521,-263.656738,1045.0304,319.199646,-265.83905,1346.57983,317.745819,-263.5214,1446.03284,287.312378,-264.741241,1396.823,309.444458,-267.334137,1190.25647,325.067383,-259.173676,1000.43256,329.16925,-268.571259,1138.19653,320.832947,-266.763733,1094.18347,306.182159
150865,0.07,1.01,0.07,-4.77,1.3,0.43,-0.04,0.99,0.19,0.01,-2.04,0.33,0.97,-0.02,-0.23,4.94,3.17,-1.16,-268.607452,1294.47852,325.0589,-268.1261,1242.69214,328.222961,-263.635,1045.10022,319.032867,-265.8969,1346.55969,317.631927,-263.6156,1446.0531,287.213348,-264.8271,1396.84937,309.377533,-267.340118,1190.2915,324.9606,-259.046143,1000.53894,329.130981,-268.619781,1138.19531,320.664459,-266.796234,1094.31128,305.897583
